song_id,n_samples,n_quadrant_transitions,is_emotionally_stable,is_emotionally_changing,dominant_emotion_quadrant,dominant_emotion_class,pct_time_Q1,pct_time_Q2,pct_time_Q3,pct_time_Q4,split,track_id,n_transitions,is_stable,dominant_quadrant
2,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,2,0,True,Q4
3,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,3,0,True,Q4
4,60,6,False,True,Q1,high_valence_high_arousal,85.0,0.0,15.0,0.0,train,4,6,False,Q1
5,60,0,True,False,Q2,high_valence_low_arousal,0.0,100.0,0.0,0.0,val,5,0,True,Q2
7,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,val,7,0,True,Q1
8,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,8,0,True,Q4
10,60,6,False,True,Q4,low_valence_low_arousal,0.0,38.333333333333336,0.0,61.66666666666667,test,10,6,False,Q4
12,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,12,0,True,Q1
13,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,13,0,True,Q4
17,60,0,True,False,Q2,high_valence_low_arousal,0.0,100.0,0.0,0.0,train,17,0,True,Q2
18,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,18,0,True,Q4
19,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,test,19,0,True,Q3
20,60,0,True,False,Q2,high_valence_low_arousal,0.0,100.0,0.0,0.0,train,20,0,True,Q2
21,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,val,21,0,True,Q1
22,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,val,22,0,True,Q4
24,60,1,False,True,Q4,low_valence_low_arousal,0.0,0.0,25.0,75.0,train,24,1,False,Q4
25,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,test,25,0,True,Q3
31,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,test,31,0,True,Q4
32,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,32,0,True,Q4
35,60,0,True,False,Q2,high_valence_low_arousal,0.0,100.0,0.0,0.0,val,35,0,True,Q2
37,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,37,0,True,Q1
39,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,39,0,True,Q1
40,60,1,False,True,Q2,high_valence_low_arousal,0.0,55.00000000000001,0.0,45.0,train,40,1,False,Q2
41,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,41,0,True,Q4
42,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,train,42,0,True,Q3
43,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,test,43,0,True,Q3
44,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,val,44,0,True,Q4
45,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,val,45,0,True,Q4
46,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,test,46,0,True,Q3
47,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,val,47,0,True,Q4
48,60,1,False,True,Q4,low_valence_low_arousal,0.0,11.666666666666666,0.0,88.33333333333333,val,48,1,False,Q4
49,60,0,True,False,Q2,high_valence_low_arousal,0.0,100.0,0.0,0.0,train,49,0,True,Q2
50,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,50,0,True,Q4
51,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,51,0,True,Q4
52,60,3,False,True,Q4,low_valence_low_arousal,0.0,38.333333333333336,0.0,61.66666666666667,train,52,3,False,Q4
53,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,53,0,True,Q4
54,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,54,0,True,Q4
55,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,55,0,True,Q1
56,60,2,False,True,Q1,high_valence_high_arousal,98.33333333333333,1.6666666666666667,0.0,0.0,train,56,2,False,Q1
58,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,58,0,True,Q4
59,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,train,59,0,True,Q3
60,60,0,True,False,Q2,high_valence_low_arousal,0.0,100.0,0.0,0.0,val,60,0,True,Q2
62,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,train,62,0,True,Q3
64,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,val,64,0,True,Q4
65,60,1,False,True,Q1,high_valence_high_arousal,91.66666666666666,0.0,8.333333333333332,0.0,train,65,1,False,Q1
67,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,67,0,True,Q1
68,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,68,0,True,Q4
69,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,val,69,0,True,Q4
70,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,test,70,0,True,Q4
71,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,train,71,0,True,Q3
72,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,72,0,True,Q1
73,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,val,73,0,True,Q1
74,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,val,74,0,True,Q4
76,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,76,0,True,Q4
77,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,77,0,True,Q4
78,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,78,0,True,Q4
79,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,val,79,0,True,Q1
80,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,80,0,True,Q1
81,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,test,81,0,True,Q3
82,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,82,0,True,Q4
83,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,83,0,True,Q1
84,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,train,84,0,True,Q3
85,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,85,0,True,Q1
86,60,2,False,True,Q1,high_valence_high_arousal,95.0,5.0,0.0,0.0,train,86,2,False,Q1
87,60,4,False,True,Q4,low_valence_low_arousal,0.0,0.0,6.666666666666667,93.33333333333333,test,87,4,False,Q4
88,60,1,False,True,Q1,high_valence_high_arousal,70.0,0.0,30.0,0.0,val,88,1,False,Q1
89,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,89,0,True,Q4
90,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,test,90,0,True,Q4
91,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,91,0,True,Q4
92,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,train,92,0,True,Q3
93,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,val,93,0,True,Q1
95,60,5,False,True,Q4,low_valence_low_arousal,0.0,25.0,0.0,75.0,train,95,5,False,Q4
96,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,96,0,True,Q1
98,60,5,False,True,Q4,low_valence_low_arousal,0.0,0.0,45.0,55.00000000000001,val,98,5,False,Q4
99,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,99,0,True,Q4
101,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,val,101,0,True,Q4
102,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,102,0,True,Q1
103,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,train,103,0,True,Q3
104,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,train,104,0,True,Q3
105,60,5,False,True,Q3,low_valence_high_arousal,31.666666666666664,0.0,68.33333333333333,0.0,train,105,5,False,Q3
106,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,106,0,True,Q4
107,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,train,107,0,True,Q3
108,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,108,0,True,Q4
109,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,test,109,0,True,Q4
110,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,110,0,True,Q4
111,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,111,0,True,Q4
112,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,112,0,True,Q1
113,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,train,113,0,True,Q3
114,60,1,False,True,Q2,high_valence_low_arousal,41.66666666666667,58.333333333333336,0.0,0.0,test,114,1,False,Q2
115,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,test,115,0,True,Q1
116,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,test,116,0,True,Q4
117,60,0,True,False,Q2,high_valence_low_arousal,0.0,100.0,0.0,0.0,train,117,0,True,Q2
118,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,118,0,True,Q4
119,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,119,0,True,Q4
120,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,120,0,True,Q4
121,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,val,121,0,True,Q4
122,60,0,True,False,Q3,low_valence_high_arousal,0.0,0.0,100.0,0.0,train,122,0,True,Q3
123,60,0,True,False,Q1,high_valence_high_arousal,100.0,0.0,0.0,0.0,train,123,0,True,Q1
124,60,0,True,False,Q4,low_valence_low_arousal,0.0,0.0,0.0,100.0,train,124,0,True,Q4
