model_name,task,target,eval_split,train_size,val_size,test_size,accuracy,macro_f1,weighted_f1,mae,rmse,r2
logistic_regression,classification,dynamic_emotion_quadrant,val,94725,17952,17318,0.5644496434937611,0.43476977226605307,0.535214268012597,,,
logistic_regression,classification,dynamic_emotion_quadrant,test,94725,17952,17318,0.6001270354544405,0.4618230971303837,0.5726060841599065,,,
svm,classification,dynamic_emotion_quadrant,val,94725,17952,17318,0.5640040106951871,0.4422414119457928,0.5416272796630999,,,
svm,classification,dynamic_emotion_quadrant,test,94725,17952,17318,0.5823420718327752,0.4567747395057217,0.5631355664655991,,,
random_forest,classification,dynamic_emotion_quadrant,val,94725,17952,17318,0.5846702317290553,0.43946024083738194,0.5444224876270339,,,
random_forest,classification,dynamic_emotion_quadrant,test,94725,17952,17318,0.6034761519805982,0.4276735979346505,0.5558001453008115,,,
gradient_boosting,classification,dynamic_emotion_quadrant,val,94725,17952,17318,0.5837232620320856,0.45817373087578384,0.5557534160840201,,,
gradient_boosting,classification,dynamic_emotion_quadrant,test,94725,17952,17318,0.5997228317357662,0.45534795550400964,0.5694575344886176,,,
xgboost,classification,dynamic_emotion_quadrant,val,94725,17952,17318,0.5887923351158645,0.4686826230522719,0.5631195531704144,,,
xgboost,classification,dynamic_emotion_quadrant,test,94725,17952,17318,0.5938907495091812,0.4516028869805189,0.5657738842145069,,,
