model_name,task_type,feature_type,target_type,eval_split,train_size,val_size,test_size,accuracy,macro_f1,weighted_f1,best_val_macro_f1
mlp,sequence,mfcc_sequence,emotion_quadrant,val,1261,270,271,0.6333333333333333,0.3985389786993321,0.5512168529357016,0.3985389786993321
mlp,sequence,mfcc_sequence,emotion_quadrant,test,1261,270,271,0.6051660516605166,0.39103951400753945,0.5311108849433626,0.3985389786993321
lstm,sequence,mfcc_sequence,emotion_quadrant,val,1261,270,271,0.6296296296296297,0.5301454191261219,0.6121411336574782,0.5301454191261219
lstm,sequence,mfcc_sequence,emotion_quadrant,test,1261,270,271,0.5867158671586716,0.4707152110964151,0.5690170904310804,0.5301454191261219
gru,sequence,mfcc_sequence,emotion_quadrant,val,1261,270,271,0.6148148148148148,0.5062409626479978,0.600610761945212,0.5062409626479978
gru,sequence,mfcc_sequence,emotion_quadrant,test,1261,270,271,0.5276752767527675,0.3932315704519498,0.5039916320551331,0.5062409626479978
attention,sequence,mfcc_sequence,emotion_quadrant,val,1261,270,271,0.6296296296296297,0.5292461029581876,0.6111788587667258,0.5292461029581876
attention,sequence,mfcc_sequence,emotion_quadrant,test,1261,270,271,0.5645756457564576,0.45053514003960393,0.5450338085183066,0.5292461029581876
transformer,sequence,mfcc_sequence,emotion_quadrant,val,1261,270,271,0.5962962962962963,0.4803159278022479,0.5795140799313165,0.4803159278022479
transformer,sequence,mfcc_sequence,emotion_quadrant,test,1261,270,271,0.5940959409594095,0.5098285587725232,0.5864908835973213,0.4803159278022479
